Index_ID,Num_Index_ID,ColumnID,Num_ColumnID,Table_ID,Num_Table_ID,Index_Name,Table_Name,Column_Name,Sequence,Sort_Order
AD85BAF5-B96B-8996-A633-F720F065C955,266,30DAF45A-9714-6442-E4B7-DF067D4AC227,219,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,SEASON_PK,DIM_SEASON,SEASON_ID,1,ASC,
60848E74-979D-6757-2DF8-AF789370E2C6,267,EF1DE5A5-B776-E240-6B8B-E7EB44FC35D9,243,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,SEASON_YEAR_UK,DIM_SEASON,YEAR_NUMBER,1,ASC,
A8BA1510-7FD7-71DE-26A5-59D8436BFDE2,268,5F8C289F-EC07-0F22-9A46-21F747C76975,223,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,TEAM_PK,DIM_TEAM,TEAM_ID,1,ASC,
2AE5106D-3313-B035-48AD-889895BE9E05,269,DFCA9843-FA6B-95AA-BC54-14BF043082AA,195,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,TEAM_NAME_UK,DIM_TEAM,NAME,1,ASC,
C638CAC3-0C60-88F1-54CE-6648D360725E,270,0822BEC0-E7B5-68EC-2AAD-2BF730A869C1,227,726CE839-6848-A7D0-8E54-2C6362C72643,125,TRACK PK,DIM_TRACK,TRACK_ID,1,ASC,
C8D34D67-D546-19E7-AE5B-4A293A4629E6,271,9D579492-C9B8-71A8-8FD5-992A11B03F31,196,726CE839-6848-A7D0-8E54-2C6362C72643,125,TRACK_NAME_UK,DIM_TRACK,NAME,1,ASC,
C8D34D67-D546-19E7-AE5B-4A293A4629E6,271,8865BBBE-6F69-C896-A433-DB600380E8FA,248,726CE839-6848-A7D0-8E54-2C6362C72643,125,TRACK_NAME_UK,DIM_TRACK,YEAR_START,2,ASC,
644BE957-24C4-9BD7-90E8-1A064B389442,272,64069F0F-1E54-A728-74E7-55CE427FAF05,231,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,TYRES_PK,DIM_TYRES,TYRES_ID,1,ASC,
4D16819E-C434-0666-1F49-1E6D328C31FB,273,EB373834-7C12-CBFA-4073-FA5C679C225F,141,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,TYRES_CODE_UK,DIM_TYRES,CODE,1,ASC,
C0B0418F-F50D-19B7-260C-00D0839E0D31,274,CE2AEFE7-E1E3-6309-D07B-91EA82A556EF,130,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,DRIVER_DAY_FK,DIM_DRIVER,BIRTHDAY_ID,1,ASC,
