Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
CODE,EB373834-7C12-CBFA-4073-FA5C679C225F,141,,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,Y,Domain,,N,,,,11CDF23C-4BAB-2354-8394-2162ED34BCB9,6,LOGDT024,109,,,,,,,,,Y,Code,VARCHAR,,,,N,Y,DIM_TYRES,,,VARCHAR,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,32,,,
CONSTRUCTOR,610F1724-8D78-7476-16F8-22A02C54FFCE,142,,DDAA11B5-3E55-1F63-63D7-301E36B9FD5F,115,N,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_CHASSIS,,,VARCHAR,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
COUNTRY_ID,448E74FF-9E26-B5BD-F916-E5DDCEB0B25B,143,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_COUNTRY,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
COUNTRY_ID,AB93EA7B-7C3B-D09A-00AA-943CDD733612,144,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_DRIVER,,F,INTEGER,8,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
COUNTRY_ID,9AE047B3-70AA-374F-57B8-294943D40921,145,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_TEAM,,F,INTEGER,8,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
COUNTRY_ID,B079C813-9903-3CFE-BD5E-EEC0F45B2B65,146,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_TRACK,,F,INTEGER,7,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
COUNTRY_NAME,27DB0BF2-FCBD-904F-F56A-7357DE7927C4,147,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,N,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,N,Name,VARCHAR,,,,N,Y,DIM_COUNTRY,,,VARCHAR,8,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
DAY_DATE,1612689F-E7D9-A035-6F63-AAB17A1832C5,148,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,DOM3000001,11,LOGDT007,66,,,,,,,,,N,Date,Date,,,,N,Y,DIM_DAY,,,DATE,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
DAY_ID,459B593A-E9DD-2FE5-28FE-6583C1466D37,149,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,N,Id,Integer,,,,N,Y,DIM_DAY,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
DAY_IN_MONTH_NUMBER,A2F0F1E6-2959-E104-8715-ACAA7E19F864,150,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,N,Small number,SMALLINT,,,,N,Y,DIM_DAY,,,SMALLINT,8,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
