Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
LAPS_IN_RACE,0F3392D1-20BB-FF7C-8A1E-D57F641A1FAC,181,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,N,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,Y,Small number,SMALLINT,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,,SMALLINT,7,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
LAPS_PASSED,E7FB2868-1963-DB4A-7FCA-FAA5B1E42227,182,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,N,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,Y,Small number,SMALLINT,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,,SMALLINT,8,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
LAST_DAY_IN_MONTH_INDICATOR,2F31F7AB-AD38-3403-EC2F-29A46E8B65F8,183,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,A9389037-2A36-13A7-91F8-751E63F39ABD,8,LOGDT024,109,,,,,,,,,Y,Code_Yes_No,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,3,,,
LAST_DAY_IN_QUARTER_INDICATOR,B0881836-9E32-2030-0317-B3CE73293DB5,184,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,A9389037-2A36-13A7-91F8-751E63F39ABD,8,LOGDT024,109,,,,,,,,,Y,Code_Yes_No,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,3,,,
LAST_DAY_IN_WEEK_INDICATOR,8D129B95-D8E0-F408-E8DF-9D71C608BC1E,185,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,A9389037-2A36-13A7-91F8-751E63F39ABD,8,LOGDT024,109,,,,,,,,,Y,Code_Yes_No,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,3,,,
LAST_DAY_IN_YEAR_INDICATOR,B26AF657-F708-28F6-25BA-0EB812D5CA13,186,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,A9389037-2A36-13A7-91F8-751E63F39ABD,8,LOGDT024,109,,,,,,,,,Y,Code_Yes_No,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,7,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,3,,,
LEAP_YEAR_INDICATOR,30CDB8A8-7AAB-C2C1-45B0-3B4C57853F18,187,,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,Y,Domain,,N,,,,A9389037-2A36-13A7-91F8-751E63F39ABD,8,LOGDT024,109,,,,,,,,,Y,Code_Yes_No,VARCHAR,,,,N,Y,DIM_SEASON,,,VARCHAR,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,3,,,
LENGTH,5D4816D3-8CC3-4EAC-8FF7-DA9770D9EE74,188,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Y,Domain,,N,,,,DOM10006,28,LOGDT019,81,,,,,,,,,Y,Numeric,NUMERIC,,,,N,Y,DIM_TRACK,,,NUMERIC,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
MANUFACTURER,78AD0C0A-745D-3372-13AC-D39EB3722F97,189,,744EEDDF-6E5A-4272-8CF1-08F00280C3D1,119,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_ENGINE,,,VARCHAR,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
MANUFACTURER,5F203268-61A6-2110-CDFA-0EC164B6EDEF,190,,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_TYRES,,,VARCHAR,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
MONTH_IN_QUARTER_NUMBER,6B4FD8AB-8DCD-DE9E-A037-2F7C901F835D,191,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,N,Small number,SMALLINT,,,,N,Y,DIM_DAY,,,SMALLINT,12,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
MONTH_NAME,DD6605AA-40CC-3E07-6F1F-5B8F7C61120C,192,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,BE9B540E-A6CF-85F4-7978-797BDD30B28D,34,LOGDT024,109,,,,,,,,,N,Short name,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,13,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,16,,,
NAME,86033ED8-5FB7-CF72-CE3F-F7219104A9BE,193,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_DRIVER,,,VARCHAR,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
NAME,7094C98D-C721-CDCC-B860-0813A972A2E0,194,,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_GRAND_PRIX,,,VARCHAR,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
NAME,DFCA9843-FA6B-95AA-BC54-14BF043082AA,195,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_TEAM,,,VARCHAR,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
NAME,9D579492-C9B8-71A8-8FD5-992A11B03F31,196,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Y,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_TRACK,,,VARCHAR,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
NUMERIC_CODE,326339CD-DBAA-E3BE-F6B4-1D1CA9AD19E5,197,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,Y,Domain,,N,,,,C9601624-FCFA-EACB-CE40-3D048651A507,33,LOGDT024,109,,,,,,,,,N,Short code,VARCHAR,,,,N,Y,DIM_COUNTRY,,,VARCHAR,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,3,,,
OFFICIAL_NAME,177460B4-510D-6F1E-BC39-600612CAD2A3,198,,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,Y,Domain,,N,,,,DOM3000005,39,LOGDT024,109,,,,,,,,,Y,Text,VARCHAR,,,,N,Y,DIM_GRAND_PRIX,,,VARCHAR,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
PHOTO,5EED1205-6918-5021-65C0-78285B5036EE,199,,8E8DC315-5C8D-1905-5A82-8E1676055B99,118,N,Domain,,N,,,,DOM2005275,20,LOGDT010,73,,,,,,,,,Y,Image,Image,,,,N,Y,DIM_DRIVER,,,BLOB,10,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,16336,,,
POINTS,4195C895-89B1-C9F2-B24B-A81C75DBC254,200,,CF63D479-C754-03CB-A268-814AFF768BF6,121,N,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,Y,Small number,SMALLINT,,,,N,Y,DIM_POSITION_ATTRIBUTES,,,SMALLINT,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
POSITION,87A7A509-9553-8EB0-05E2-BC34083B702A,201,,CF63D479-C754-03CB-A268-814AFF768BF6,121,N,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,Y,Small number,SMALLINT,,,,N,Y,DIM_POSITION_ATTRIBUTES,,,SMALLINT,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
POSITION_ATTRIBUTES_ID,3C2D368E-F4D3-DE47-4E8D-E1F9F59149D2,202,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,20,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
POSITION_ATTRIBUTES_ID,EFAB4876-41F4-C106-B19E-A603CD501148,203,,CF63D479-C754-03CB-A268-814AFF768BF6,121,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_POSITION_ATTRIBUTES,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
QUALIFYING_POSITION,F2592337-5E35-7768-D5D0-2CA7297EE0F6,204,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,N,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,Y,Small number,SMALLINT,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,,SMALLINT,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
QUARTER_IN_YEAR_NUMBER,96C86DE3-EAB0-0B32-96F3-6A0609190A13,205,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,N,Small number,SMALLINT,,,,N,Y,DIM_DAY,,,SMALLINT,14,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
RACE_ATTRIBUTES_ID,E3CAA2A7-8E9B-EDE1-93C7-6EFB7292A2E2,206,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,18,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
RACE_ATTRIBUTES_ID,49305134-2054-9E80-987A-11BBC78BCA21,207,,3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_RACE_ATTRIBUTES,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
RACE_DAY_ID,2A8DE780-DA50-7679-9272-2F59F69CF62F,208,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,10,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
RACE_PENALTY_REASON,643EA1FC-5A25-94FF-CBBD-7336197DDD86,209,,3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,Y,Domain,,N,,,,11CDF23C-4BAB-2354-8394-2162ED34BCB9,6,LOGDT024,109,,,,,,,,,Y,Code,VARCHAR,,,,N,Y,DIM_RACE_ATTRIBUTES,,,VARCHAR,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,32,,,
REGION,8FC94C28-2E30-451B-B6E4-955AE2BA9757,210,,726CE839-6848-A7D0-8E54-2C6362C72643,125,N,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_TRACK,,,VARCHAR,9,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
RESULT,0C6991B8-778F-FEEA-D5C4-A51EAA79D890,211,,CF63D479-C754-03CB-A268-814AFF768BF6,121,N,Domain,,N,,,,11CDF23C-4BAB-2354-8394-2162ED34BCB9,6,LOGDT024,109,,,,,,,,,Y,Code,VARCHAR,,,,N,Y,DIM_POSITION_ATTRIBUTES,,,VARCHAR,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,32,,,
RETIRE_REASON,8E04187D-4B0F-1CC0-733F-3E85005B88D6,212,,3E5D7780-D524-CA2B-A5B5-B59B93BC0876,122,Y,Domain,,N,,,,11CDF23C-4BAB-2354-8394-2162ED34BCB9,6,LOGDT024,109,,,,,,,,,Y,Code,VARCHAR,,,,N,Y,DIM_RACE_ATTRIBUTES,,,VARCHAR,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,32,,,
SCD_ACTIVE,4DE2F937-1CDD-7B22-691D-565447B6C8E9,213,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,Y,Domain,,N,,,,BAB387E5-AD75-5F95-BBEF-DFFAD3FB5D6E,16,LOGDT019,81,,,,,,,,1,Y,Flag 0_1,NUMERIC,,,,N,Y,DIM_COUNTRY,,,NUMERIC,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,1,,,
SCD_END,07B401CC-14DF-A88F-43AA-41A332246723,214,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,Y,Domain,,N,,,,DOM3000001,11,LOGDT007,66,,,,,,,,,N,Date,Date,,,,N,Y,DIM_COUNTRY,,,DATE,3,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
SCD_START,D78ECF8C-0A82-6E86-A8EF-68F16D24FFE4,215,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,Y,Domain,,N,,,,DOM3000001,11,LOGDT007,66,,,,,,,,,N,Date,Date,,,,N,Y,DIM_COUNTRY,,,DATE,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
SCD_VERSION,AB0F63F4-D65B-DF8A-7A08-CD2FE68AE3C7,216,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,N,Small number,SMALLINT,,,,N,Y,DIM_COUNTRY,,,SMALLINT,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
SCHEMA,19AAAA45-BC25-E1B3-95A0-E33257E83F93,217,,726CE839-6848-A7D0-8E54-2C6362C72643,125,N,Domain,,N,,,,DOM2005275,20,LOGDT010,73,,,,,,,,,Y,Image,Image,,,,N,Y,DIM_TRACK,,,BLOB,11,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,16336,,,
SEASON_ID,02F1F7E0-CC9F-EAAA-E2DB-D2D81B3CF691,218,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,16,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
SEASON_ID,30DAF45A-9714-6442-E4B7-DF067D4AC227,219,,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_SEASON,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
SEASON_NAME,4CD30D81-FFEA-165D-5E4B-C5722FABA6C2,220,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,BE9B540E-A6CF-85F4-7978-797BDD30B28D,34,LOGDT024,109,,,,,,,,,N,Short name,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,19,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,16,,,
SHORT_NAME,1AC620DA-4D11-2169-ADEA-3C77334ADE48,221,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,N,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,N,Name,VARCHAR,,,,N,Y,DIM_COUNTRY,,,VARCHAR,9,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
START_POSITION,36EE8DAD-1F8B-F627-992C-9B909E057CB9,222,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,N,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,Y,Small number,SMALLINT,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,,SMALLINT,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
TEAM_ID,5F8C289F-EC07-0F22-9A46-21F747C76975,223,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_TEAM,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
TITLE_SPONSOR,C06806C3-FC41-C06C-30BF-C5A1D0841CD0,224,,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,N,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_GRAND_PRIX,,,VARCHAR,7,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
TITLE_SPONSOR,E6D8D174-59A0-10E1-FD92-5CD3FF6260C6,225,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,N,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,Y,Name,VARCHAR,,,,N,Y,DIM_TEAM,,,VARCHAR,7,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
TRACK_ID,95B0E6DE-BA29-16FA-10E5-473DB368E23C,226,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,13,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
TRACK_ID,0822BEC0-E7B5-68EC-2AAD-2BF730A869C1,227,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_TRACK,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
TREAD,358127CF-97B6-44CF-FC5B-258A03E16D8C,228,,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,Y,Domain,,N,,,,11CDF23C-4BAB-2354-8394-2162ED34BCB9,6,LOGDT024,109,,,,,,,,,Y,Code,VARCHAR,,,,N,Y,DIM_TYRES,,,VARCHAR,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,32,,,
TURNS,203B4880-6C52-C703-80D8-3A24EC8838BA,229,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,Y,Small number,SMALLINT,,,,N,Y,DIM_TRACK,,,SMALLINT,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
TYRES_ID,7FDEF80F-C84B-386F-1AD3-6F45BC48B5B1,230,,F4F52C45-439D-F56C-52AF-27E5E5C66A42,127,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,FACT_GRAND_PRIX_RESULTS,,F,INTEGER,19,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
TYRES_ID,64069F0F-1E54-A728-74E7-55CE427FAF05,231,,43BCD7A8-3A49-7137-C64B-25D84AD4CEDE,126,Y,Domain,,N,,,,14F48E0E-DF1C-AC38-8523-33D121C6C4CE,19,LOGDT011,74,,,,,,,,,Y,Id,Integer,,,,N,Y,DIM_TYRES,P,,INTEGER,1,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
UN_CONTINENT_NAME,E8D49F84-CE54-1676-FEA2-455434865690,232,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,N,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,N,Name,VARCHAR,,,,N,Y,DIM_COUNTRY,,,VARCHAR,11,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
UN_REGION_NAME,A41397F3-BF57-FFD7-1C02-AC54573C3539,233,,2442F951-6B65-9607-CF72-8013B4C6E38B,116,N,Domain,,N,,,,1D7D9011-142E-55D0-7032-3A93DEA0D695,27,LOGDT024,109,,,,,,,,,N,Name,VARCHAR,,,,N,Y,DIM_COUNTRY,,,VARCHAR,10,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,256,,,
WEEKEND_INDICATOR,98A48E87-BC88-B40F-87B2-BDC5F75A0C2E,234,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,BE9B540E-A6CF-85F4-7978-797BDD30B28D,34,LOGDT024,109,,,,,,,,,N,Short name,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,20,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,16,,,
WEEK_IN_MONTH_NUMBER,6646E064-6AE7-00EB-59A7-21E503915574,235,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,N,Small number,SMALLINT,,,,N,Y,DIM_DAY,,,SMALLINT,10,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
WEEK_IN_YEAR_NUMBER,4DB109AA-E6A6-C9E5-9A9A-1759A9ADFA7C,236,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,DOM3000006,35,LOGDT018,92,,,,,,,,,N,Small number,SMALLINT,,,,N,Y,DIM_DAY,,,SMALLINT,11,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,,,,
YEAR_END,CDD59428-D720-B1D8-FD4A-BCE104B3F5B9,237,,2E697EE6-CDB0-0785-9F6E-06B0F03284D8,120,Y,Domain,,N,,,,5BD9CBEF-3EA6-78A7-B6F7-11A75B0ACFA1,49,LOGDT018,92,,,,,,,,,Y,Year,SMALLINT,,,,N,Y,DIM_GRAND_PRIX,,,SMALLINT,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,4,,,
YEAR_END,958113FD-A6DA-4913-32D4-D37F3C6B3E94,238,,CF63D479-C754-03CB-A268-814AFF768BF6,121,Y,Domain,,N,,,,5BD9CBEF-3EA6-78A7-B6F7-11A75B0ACFA1,49,LOGDT018,92,,,,,,,,,Y,Year,SMALLINT,,,,N,Y,DIM_POSITION_ATTRIBUTES,,,SMALLINT,6,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,4,,,
YEAR_END,D62D8582-C80E-1F9F-4BB1-BD1DFE2BA851,239,,D969EC08-5497-8E29-BE7F-1D0471616AFE,124,Y,Domain,,N,,,,5BD9CBEF-3EA6-78A7-B6F7-11A75B0ACFA1,49,LOGDT018,92,,,,,,,,,Y,Year,SMALLINT,,,,N,Y,DIM_TEAM,,,SMALLINT,5,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,4,,,
YEAR_END,9A116B69-A027-2C04-949C-8D167E6A757A,240,,726CE839-6848-A7D0-8E54-2C6362C72643,125,Y,Domain,,N,,,,5BD9CBEF-3EA6-78A7-B6F7-11A75B0ACFA1,49,LOGDT018,92,,,,,,,,,Y,Year,SMALLINT,,,,N,Y,DIM_TRACK,,,SMALLINT,4,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,4,,,
YEAR_HALF_NAME,8BBA0641-FBBF-9D52-7EA4-05D2748331C6,241,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,BE9B540E-A6CF-85F4-7978-797BDD30B28D,34,LOGDT024,109,,,,,,,,,N,Short name,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,18,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,16,,,
YEAR_MONTH_NAME,C24CF2A4-D613-EFA4-36D8-04905C5DF364,242,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,BE9B540E-A6CF-85F4-7978-797BDD30B28D,34,LOGDT024,109,,,,,,,,,N,Short name,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,16,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,16,,,
YEAR_NUMBER,EF1DE5A5-B776-E240-6B8B-E7EB44FC35D9,243,,7F5F9AE3-D4AD-A51A-1346-FA8126B356A7,123,Y,Domain,,N,,,,5BD9CBEF-3EA6-78A7-B6F7-11A75B0ACFA1,49,LOGDT018,92,,,,,,,,,Y,Year,SMALLINT,,,,N,Y,DIM_SEASON,,,SMALLINT,2,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,4,,,
YEAR_QUARTER_NAME,1692751E-92B4-6EFF-28C4-F3B3BF3D20F2,244,,25BDBA67-A13E-5A48-179F-C2662481C0A4,117,Y,Domain,,N,,,,BE9B540E-A6CF-85F4-7978-797BDD30B28D,34,LOGDT024,109,,,,,,,,,N,Short name,VARCHAR,,,,N,Y,DIM_DAY,,,VARCHAR,17,5E59AF55-A863-4922-D512-11AA7CDA2DBB,114,Relational_1,16,,,
